file,ground_truth,predicted,outcome,max_confidence,frame_count,frames_with_pose,pose_detection_rate,real_inference_count,had_any_buffer,forced_flush
w097_converted.avi,violent,violent,TP,0.731,307,307,1.0,71,True,True
z1WyVUv8_0.avi,violent,violent,TP,0.63,150,147,0.98,5,True,True
_RziL1Ds6xU_0.avi,violent,violent,TP,0.728,150,149,0.993,14,True,True
n173_converted.avi,normal,normal,TN,0.293,27,26,0.963,0,True,True
18xQQOv5_0.avi,normal,violent,FP,0.678,150,149,0.993,25,True,False
Violence482.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
Violence240.avi,violent,violent,TP,0.618,30,17,0.567,0,True,True
Normal679.avi,normal,violent,FP,0.72,30,29,0.967,0,True,True
nNUeqFgG_4.avi,violent,violent,TP,0.593,150,146,0.973,10,True,True
aKgSasWRJ2s_1.avi,violent,violent,TP,0.699,150,149,0.993,45,True,True
Weaponized212.avi,violent,violent,TP,0.521,30,29,0.967,0,True,True
YaWxiAtCwxE_6.avi,violent,violent,TP,0.723,150,137,0.913,6,True,True
Normal683.avi,normal,violent,FP,0.671,30,29,0.967,0,True,True
Weaponized019.avi,violent,normal,FN,0.383,30,30,1.0,0,True,True
no333_xvid.avi,normal,normal,TN,0.293,41,33,0.805,0,True,True
Normal045.avi,normal,normal,TN,0.272,30,29,0.967,0,True,True
80ySNph9_0.avi,normal,violent,FP,0.486,150,149,0.993,21,True,False
NV_346.avi,normal,normal,TN,0.359,153,114,0.745,3,True,True
Violence759.avi,violent,normal,FN,0.34,30,29,0.967,0,True,True
Weaponized750.avi,violent,violent,TP,0.646,30,29,0.967,0,True,True
Weaponized197.avi,violent,violent,TP,0.416,30,26,0.867,0,True,True
Violence594.avi,violent,violent,TP,0.701,30,18,0.6,0,True,True
Normal368.avi,normal,violent,FP,0.647,30,29,0.967,0,True,True
q2yEYFD5_0.avi,normal,normal,TN,0.339,150,27,0.18,0,True,True
Violence337.avi,violent,violent,TP,0.711,30,25,0.833,0,True,True
w053_converted.avi,violent,violent,TP,0.726,218,51,0.234,1,True,True
Normal713.avi,normal,normal,TN,0.288,30,29,0.967,0,True,True
Normal-Test127.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Weaponized052.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
v073_converted.avi,violent,violent,TP,0.731,327,326,0.997,60,True,True
0H2s9UJcNJ0_0.avi,normal,violent,FP,0.729,150,149,0.993,32,True,True
c1bRFt0x_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
UvLAudRA91Y_1.avi,violent,violent,TP,0.73,150,149,0.993,23,True,True
