file,ground_truth,predicted,outcome,max_confidence,frame_count
n079_converted.avi,normal,violent,FP,0.717,124
Violence841.avi,violent,normal,FN,0.0,30
Violence014.avi,violent,violent,TP,0.588,30
MhiGg6f7_0.avi,normal,normal,TN,0.0,150
n191_converted.avi,normal,normal,TN,0.0,126
X0fP5VQMrbg_1.avi,normal,normal,TN,0.399,150
no339_xvid.avi,normal,violent,FP,0.666,41
NV_333.avi,normal,violent,FP,0.73,150
no386_xvid.avi,normal,normal,TN,0.318,41
n197_converted.avi,normal,violent,FP,0.713,130
Weaponized-Test042.avi,violent,normal,FN,0.0,30
Violence847.avi,violent,normal,FN,0.287,30
no46_xvid.avi,normal,normal,TN,0.465,41
Normal-Test044.avi,normal,normal,TN,0.276,30
cwLtq5Y3_0.avi,normal,normal,TN,0.0,150
no463_xvid.avi,normal,normal,TN,0.269,41
OTVE3eLAuUM_2.avi,normal,violent,FP,0.59,150
HW48LUZKOL4_0.avi,violent,violent,TP,0.552,150
Violence548.avi,violent,normal,FN,0.0,30
Weaponized375.avi,violent,violent,TP,0.701,30
no444_xvid.avi,normal,normal,TN,0.418,41
1W8hsVvyKt4_2.avi,normal,normal,TN,0.342,150
dDNWfVPw_0.avi,normal,normal,TN,0.0,150
oDGm-DOOyI4_0.avi,normal,normal,TN,0.41,150
5RayT2Vy0EA_2.avi,normal,violent,FP,0.726,150
0TP13Nyn_0.avi,normal,violent,FP,0.713,150
Normal379.avi,normal,normal,TN,0.545,30
NV_921.avi,normal,normal,TN,0.399,145
Normal700.avi,normal,violent,FP,0.572,30
Normal155.avi,normal,normal,TN,0.317,30
1O4KGHbRt3M_2.avi,violent,normal,FN,0.345,150
etyiEs3j8x8_8.avi,violent,normal,FN,0.549,150
gnBmOf7v_1.avi,violent,normal,FN,0.0,150
no331_xvid.avi,normal,normal,TN,0.278,41
no300_xvid.avi,normal,normal,TN,0.269,41
Normal-Test131.avi,normal,normal,TN,0.0,30
Weaponized521.avi,violent,normal,FN,0.0,30
Normal-Test140.avi,normal,normal,TN,0.0,30
cVYo5yT2_0.avi,normal,normal,TN,0.457,150
Normal-Test105.avi,normal,normal,TN,0.0,30
Violence390.avi,violent,violent,TP,0.727,30
Violence005.avi,violent,normal,FN,0.545,30
V_9.avi,violent,violent,TP,0.554,120
NV_812.avi,normal,violent,FP,0.611,115
videoplayback_95.avi,violent,normal,FN,0.0,150
l4gqDHx9_dI_1.avi,violent,normal,FN,0.298,150
NV_339.avi,normal,normal,TN,0.0,120
no358_xvid.avi,normal,normal,TN,0.297,41
w052_converted.avi,violent,violent,TP,0.721,220
Weaponized098.avi,violent,normal,FN,0.0,30
