file,ground_truth,predicted,outcome,max_confidence,frame_count,frames_with_pose,pose_exceptions,pose_detection_rate,real_inference_count,had_any_buffer,forced_flush
Weaponized829.avi,violent,normal,FN,0.723,30,24,0,0.8,1,True,False
z1WyVUv8_0.avi,violent,violent,TP,0.731,150,148,0,0.987,12,True,True
_RziL1Ds6xU_0.avi,violent,violent,TP,0.731,150,150,0,1.0,18,True,True
Normal845.avi,normal,normal,TN,0.0,30,1,0,0.033,0,True,True
18xQQOv5_0.avi,normal,normal,TN,0.468,150,150,0,1.0,33,True,False
Violence247.avi,violent,violent,TP,0.722,30,30,0,1.0,6,True,True
Violence005.avi,violent,normal,FN,0.731,30,30,0,1.0,6,True,False
Normal433.avi,normal,violent,FP,0.627,30,30,0,1.0,4,True,True
nNUeqFgG_4.avi,violent,violent,TP,0.729,150,147,0,0.98,14,True,True
aKgSasWRJ2s_1.avi,violent,violent,TP,0.731,150,150,0,1.0,89,True,True
Violence947.avi,violent,normal,FN,0.0,30,0,0,0.0,0,False,False
YaWxiAtCwxE_6.avi,violent,violent,TP,0.731,150,138,0,0.92,22,True,True
Normal437.avi,normal,normal,TN,0.731,30,30,0,1.0,3,True,True
Violence754.avi,violent,violent,TP,0.725,30,30,0,1.0,3,True,True
no333_xvid.avi,normal,normal,TN,0.269,41,34,0,0.829,3,True,True
n168_converted.avi,normal,normal,TN,0.731,55,55,0,1.0,5,True,False
80ySNph9_0.avi,normal,normal,TN,0.271,150,150,0,1.0,27,True,False
NV_346.avi,normal,normal,TN,0.269,153,115,0,0.752,7,True,True
Violence524.avi,violent,normal,FN,0.0,30,10,0,0.333,0,True,True
Weaponized515.avi,violent,normal,FN,0.345,30,22,0,0.733,2,True,True
Violence932.avi,violent,normal,FN,0.383,30,30,0,1.0,2,True,True
Violence359.avi,violent,violent,TP,0.731,30,29,0,0.967,7,True,True
Normal122.avi,normal,violent,FP,0.602,30,29,0,0.967,5,True,True
q2yEYFD5_0.avi,normal,violent,FP,0.409,150,28,0,0.187,2,True,True
Violence102.avi,violent,normal,FN,0.401,30,30,0,1.0,4,True,True
Weaponized785.avi,violent,normal,FN,0.456,30,24,0,0.8,2,True,True
Normal467.avi,normal,normal,TN,0.731,30,30,0,1.0,3,True,True
n081_converted.avi,normal,normal,TN,0.312,101,101,0,1.0,39,True,True
Violence787.avi,violent,normal,FN,0.731,30,25,0,0.833,1,True,False
Weaponized705.avi,violent,normal,FN,0.342,30,30,0,1.0,3,True,True
0H2s9UJcNJ0_0.avi,normal,violent,FP,0.73,150,150,0,1.0,46,True,True
c1bRFt0x_0.avi,normal,normal,TN,0.0,150,0,0,0.0,0,False,False
UvLAudRA91Y_1.avi,violent,violent,TP,0.731,150,150,0,1.0,39,True,True
oIEZ45OCmAw_4.avi,violent,violent,TP,0.731,150,127,0,0.847,8,True,True
Weaponized323.avi,violent,violent,TP,0.731,30,30,0,1.0,9,True,True
Weaponized509.avi,violent,normal,FN,0.0,30,0,0,0.0,0,False,False
Violence-Test005.avi,violent,normal,FN,0.731,30,30,0,1.0,6,True,False
Normal-Test168.avi,normal,normal,TN,0.269,30,6,0,0.2,1,True,True
YL1qlr23_0.avi,normal,violent,FP,0.664,150,57,0,0.38,3,True,False
EFv961C5RgY_0.avi,normal,violent,FP,0.731,150,150,0,1.0,57,True,True
Weaponized301.avi,violent,normal,FN,0.731,30,30,0,1.0,2,True,False
b6XfVAZC9Zs_7.avi,violent,violent,TP,0.506,150,6,0,0.04,1,True,True
Violence796.avi,violent,normal,FN,0.731,30,30,0,1.0,3,True,False
Normal577.avi,normal,normal,TN,0.271,30,30,0,1.0,8,True,True
lUjx4FXvv34_1.avi,violent,violent,TP,0.731,150,97,0,0.647,11,True,True
Violence149.avi,violent,violent,TP,0.731,30,30,0,1.0,4,True,True
